"","X","YEAR","MONTH","DAY","SITE","TRANSECT","SIDE","SP_CODE","PERCENT_COVER","GROUP","DIVISION.FAMILY","COMMON.DIVISION.NAME","SIZE","COMMON.NAME","KINGDOM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","SPECIES"
"1",1,2014,7,8,"BAKER_NORTH","1","I","ANSP",1.25,"Invertebrate","Molluscs","Bivalves",NA,"jingle shell",NA,NA,NA,NA,NA,NA,"Anomia "
"2",2,2014,7,8,"BAKER_NORTH","1","I","B",3.75,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,2014,7,8,"BAKER_NORTH","1","I","BA",2.5,"Invertebrate","Arthropods","Crustaceans",NA,NA,NA,NA,NA,NA,NA,NA,"Barnacle "
"4",4,2014,7,8,"BAKER_NORTH","1","I","BL",5,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,2014,7,8,"BAKER_NORTH","1","I","BM",13.75,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,2014,7,8,"BAKER_NORTH","1","I","BOVI",1.25,"Invertebrate","Chordates","Tunicates",NA,"orange sheath tunicate","Animalia","Chordata","Ascidiacea","Stolidobranchia","Styelidae","Botrylloides","Botrylloides violaceus"
"7",7,2014,7,8,"BAKER_NORTH","1","I","BS",6.25,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,2014,7,8,"BAKER_NORTH","1","I","C",8.75,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,2014,7,8,"BAKER_NORTH","1","I","CF",2.5,"Invertebrate","Molluscs","Gastropods",NA,"Slipper Snail","Animalia","Mollusca","Gastropoda","Littorinimorpha","Calyptraeidae","Crepidula","Crepidula fornicata"
"10",10,2014,7,8,"BAKER_NORTH","1","I","CHCR",5,"Algae","Rhodophyta","Erect Red Algae",NA,"Irish moss","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Gigartinaceae","Chondrus","Chondrus crispus"
"11",11,2014,7,8,"BAKER_NORTH","1","I","CLSP",2.5,"Invertebrate","Proifera","Sponges",NA,NA,NA,NA,NA,NA,NA,NA,"Cliona "
"12",12,2014,7,8,"BAKER_NORTH","1","I","CO",1.25,"Algae","Rhodophyta","Erect Red Algae",NA,"coral weed",NA,NA,NA,NA,NA,NA,"Corralina officinalis"
"13",13,2014,7,8,"BAKER_NORTH","1","I","DEVI",6.25,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed",NA,NA,NA,NA,NA,NA,"Desmerestia viridis"
"14",14,2014,7,8,"BAKER_NORTH","1","I","DIAT",2.5,"Algae","Phaeophyta","Brown Algae",NA,NA,NA,NA,NA,NA,NA,NA,"Diatom Tube Mat"
"15",15,2014,7,8,"BAKER_NORTH","1","I","DIVE",1.25,"Invertebrate","Chordates","Tunicates",NA,"tunicate","Animalia","Chordata","Ascidiacea","Aplousobranchia","Didemnidae","Didemnum","Didemnum vexillum"
"16",16,2014,7,8,"BAKER_NORTH","1","I","EC",2.5,"Algae","Rhodophyta","Red Algal Crusts",NA,NA,NA,NA,NA,NA,NA,NA,"Encrusting coralline"
"17",17,2014,7,8,"BAKER_NORTH","1","I","HIRU",1.25,"Algae","Rhodophyta","Red Algal Crusts",NA,NA,"Plantae","Rhodophyta","Florideophyceae","Hildenbrandiales","Hildenbrandiaceae","Hildenbrandia","Hildenbrandia rubra"
"18",18,2014,7,8,"BAKER_NORTH","1","I","HJ",1.25,"Algae","Rhodophyta","Erect Red Algae",NA,"japan red algae",NA,NA,NA,NA,NA,NA,"Heterosiphonia japonica"
