"","X","YEAR","MONTH","DAY","SITE","TRANSECT","SP_CODE","QUAD","SIDE","COUNT","AREA","GROUP","DIVISION.FAMILY","COMMON.DIVISION.NAME","SIZE","COMMON.NAME","KINGDOM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","SPECIES","NOTES"
"1",1,2014,7,9,"BAKER_NORTH","4","HOAM","0-20","I",4,20,"Invertebrate","Arthropods","Crustaceans",NA,"American lobster","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","Homarus americanus","AJH = Inshore"
"2",2,2014,7,9,"BAKER_NORTH","4","CABO","0-20","I",3,20,"Invertebrate","Arthropods","Crustaceans",NA,"Jonah Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis","Katy = Offshore"
"3",3,2014,7,9,"BAKER_NORTH","4","CAIR","0-20","I",NA,20,"Invertebrate","Arthropods","Crustaceans",NA,"Atlantic Rock Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer irroratus",NA
"4",4,2014,7,9,"BAKER_NORTH","4","MYSP","0-20","I",NA,20,"Fish","Chordates","Fish","<10cm","Sculpin",NA,NA,NA,NA,NA,NA,"Myoxocephalus ",NA
"5",5,2014,7,9,"BAKER_NORTH","4","PHGU","0-20","I",2,20,"Fish","Chordates","Fish",NA,"Rock gunnel",NA,NA,NA,NA,NA,NA,"Pholis gunnelus",NA
"6",6,2014,7,9,"BAKER_NORTH","4","LISP","0-20","I",1,20,"Algae","Rhodophyta","Red Algal Crusts",NA,NA,NA,NA,NA,NA,NA,NA,"Lithophyllum ","""Shanny"" changed to LISP (Lipophrys sp.)"
"7",7,2014,7,9,"BAKER_NORTH","3","CABO","0-20","I",1,20,"Invertebrate","Arthropods","Crustaceans",NA,"Jonah Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis","AJH = Inshore"
"8",8,2014,7,9,"BAKER_NORTH","3","CAIR","0-20","I",NA,20,"Invertebrate","Arthropods","Crustaceans",NA,"Atlantic Rock Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer irroratus","Katy = Offshore"
"9",9,2014,7,9,"BAKER_NORTH","3","HOAM","0-20","I",2,20,"Invertebrate","Arthropods","Crustaceans",NA,"American lobster","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","Homarus americanus",NA
"10",10,2014,7,9,"BAKER_NORTH","3","MYSP","0-20","I",1,20,"Fish","Chordates","Fish","<10cm","Sculpin",NA,NA,NA,NA,NA,NA,"Myoxocephalus ",NA
"11",11,2014,7,9,"BAKER_NORTH","3","PHGU","0-20","I",NA,20,"Fish","Chordates","Fish",NA,"Rock gunnel",NA,NA,NA,NA,NA,NA,"Pholis gunnelus",NA
"12",12,2014,7,9,"BAKER_NORTH","3","CYLU ","0-20","I",NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,2014,7,8,"BAKER_NORTH","2","CABO","0-20","I",5,20,"Invertebrate","Arthropods","Crustaceans",NA,"Jonah Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis","AJH = Inshore 0-20 (7/9/2014)"
"14",14,2014,7,8,"BAKER_NORTH","2","CAIR","0-20","I",NA,20,"Invertebrate","Arthropods","Crustaceans",NA,"Atlantic Rock Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer irroratus","Katy = O.S. 20-40m and Offshore"
"15",15,2014,7,8,"BAKER_NORTH","2","HOAM","0-20","I",5,20,"Invertebrate","Arthropods","Crustaceans",NA,"American lobster","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","Homarus americanus",NA
"16",16,2014,7,8,"BAKER_NORTH","2","MYSP","0-20","I",1,20,"Fish","Chordates","Fish","<10cm","Sculpin",NA,NA,NA,NA,NA,NA,"Myoxocephalus ",NA
"17",17,2014,7,8,"BAKER_NORTH","2","PHGU","0-20","I",NA,20,"Fish","Chordates","Fish",NA,"Rock gunnel",NA,NA,NA,NA,NA,NA,"Pholis gunnelus",NA
"18",18,2014,7,8,"BAKER_NORTH","2","LISP","0-20","I",3,20,"Algae","Rhodophyta","Red Algal Crusts",NA,NA,NA,NA,NA,NA,NA,NA,"Lithophyllum ","""Shanny"" changed to LISP (Lipophrys sp.)"
"19",19,2014,7,8,"BAKER_NORTH","1","CABO","0-20","I",4,20,"Invertebrate","Arthropods","Crustaceans",NA,"Jonah Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis","AJH = Inshore"
"20",20,2014,7,8,"BAKER_NORTH","1","CAIR","0-20","I",2,20,"Invertebrate","Arthropods","Crustaceans",NA,"Atlantic Rock Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer irroratus","Katy = Offshore"
"21",21,2014,7,8,"BAKER_NORTH","1","HOAM","0-20","I",8,20,"Invertebrate","Arthropods","Crustaceans",NA,"American lobster","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","Homarus americanus","""orange fish 5cm"" 1 in 20-0 OFF, removed"
"22",22,2014,7,8,"BAKER_NORTH","1","PHGU","0-20","I",NA,20,"Fish","Chordates","Fish",NA,"Rock gunnel",NA,NA,NA,NA,NA,NA,"Pholis gunnelus","""gunnel"" changed to PHGU"
"23",23,2014,7,8,"BAKER_NORTH","1","MYSP","0-20","I",3,20,"Fish","Chordates","Fish","<10cm","Sculpin",NA,NA,NA,NA,NA,NA,"Myoxocephalus ",NA
"24",24,2014,7,8,"BAKER_NORTH","1","PHGU","0-20","I",1,20,"Fish","Chordates","Fish",NA,"Rock gunnel",NA,NA,NA,NA,NA,NA,"Pholis gunnelus",NA
"25",25,2014,7,8,"BAKER_NORTH","1","LISP","0-20","I",NA,20,"Algae","Rhodophyta","Red Algal Crusts",NA,NA,NA,NA,NA,NA,NA,NA,"Lithophyllum ","""Shanny"" changed to LISP (Lipophrys sp.)"
"26",26,2014,7,9,"BAKER_NORTH","4","HOAM","20-40","I",3,20,"Invertebrate","Arthropods","Crustaceans",NA,"American lobster","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","Homarus americanus","AJH = Inshore"
"27",27,2014,7,9,"BAKER_NORTH","4","CABO","20-40","I",5,20,"Invertebrate","Arthropods","Crustaceans",NA,"Jonah Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis","Katy = Offshore"
"28",28,2014,7,9,"BAKER_NORTH","4","CAIR","20-40","I",NA,20,"Invertebrate","Arthropods","Crustaceans",NA,"Atlantic Rock Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer irroratus",NA
"29",29,2014,7,9,"BAKER_NORTH","4","MYSP","20-40","I",NA,20,"Fish","Chordates","Fish","<10cm","Sculpin",NA,NA,NA,NA,NA,NA,"Myoxocephalus ",NA
"30",30,2014,7,9,"BAKER_NORTH","4","PHGU","20-40","I",NA,20,"Fish","Chordates","Fish",NA,"Rock gunnel",NA,NA,NA,NA,NA,NA,"Pholis gunnelus",NA
"31",31,2014,7,9,"BAKER_NORTH","4","LISP","20-40","I",NA,20,"Algae","Rhodophyta","Red Algal Crusts",NA,NA,NA,NA,NA,NA,NA,NA,"Lithophyllum ","""Shanny"" changed to LISP (Lipophrys sp.)"
"32",32,2014,7,9,"BAKER_NORTH","3","CABO","20-40","I",2,20,"Invertebrate","Arthropods","Crustaceans",NA,"Jonah Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis","AJH = Inshore"
"33",33,2014,7,9,"BAKER_NORTH","3","CAIR","20-40","I",NA,20,"Invertebrate","Arthropods","Crustaceans",NA,"Atlantic Rock Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer irroratus","Katy = Offshore"
"34",34,2014,7,9,"BAKER_NORTH","3","HOAM","20-40","I",2,20,"Invertebrate","Arthropods","Crustaceans",NA,"American lobster","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","Homarus americanus",NA
"35",35,2014,7,9,"BAKER_NORTH","3","MYSP","20-40","I",NA,20,"Fish","Chordates","Fish","<10cm","Sculpin",NA,NA,NA,NA,NA,NA,"Myoxocephalus ",NA
"36",36,2014,7,9,"BAKER_NORTH","3","PHGU","20-40","I",NA,20,"Fish","Chordates","Fish",NA,"Rock gunnel",NA,NA,NA,NA,NA,NA,"Pholis gunnelus",NA
"37",37,2014,7,9,"BAKER_NORTH","3","CYLU ","20-40","I",NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",38,2014,7,8,"BAKER_NORTH","2","CABO","20-40","I",2,20,"Invertebrate","Arthropods","Crustaceans",NA,"Jonah Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer borealis","AJH = Inshore 0-20 (7/9/2014)"
"39",39,2014,7,8,"BAKER_NORTH","2","CAIR","20-40","I",1,20,"Invertebrate","Arthropods","Crustaceans",NA,"Atlantic Rock Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer irroratus","Katy = O.S. 20-40m and Offshore"
"40",40,2014,7,8,"BAKER_NORTH","2","HOAM","20-40","I",1,20,"Invertebrate","Arthropods","Crustaceans",NA,"American lobster","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","Homarus americanus",NA
"41",41,2014,7,8,"BAKER_NORTH","2","MYSP","20-40","I",2,20,"Fish","Chordates","Fish","<10cm","Sculpin",NA,NA,NA,NA,NA,NA,"Myoxocephalus ",NA
"42",42,2014,7,8,"BAKER_NORTH","2","PHGU","20-40","I",NA,20,"Fish","Chordates","Fish",NA,"Rock gunnel",NA,NA,NA,NA,NA,NA,"Pholis gunnelus",NA
"43",43,2014,7,8,"BAKER_NORTH","2","LISP","20-40","I",NA,20,"Algae","Rhodophyta","Red Algal Crusts",NA,NA,NA,NA,NA,NA,NA,NA,"Lithophyllum ","""Shanny"" changed to LISP (Lipophrys sp.)"
