"NETWORK","PI","YEAR","MONTH","DAY","SITE","TRANSECT","SP_CODE","PERCENT_COVER","GROUP","DIVISION.FAMILY","COMMON.DIVISION.NAME","SIZE","COMMON.NAME","KINGDOM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","SPECIES"
"KEEN ONE","Byrnes",2014,7,8,"Baker North","1","ANSP",2.5,"Invertebrate","Molluscs","Bivalves",NA,"jingle shell","Animalia","Mollusca","Bivalvia","Pectinida","Anomiidae","Anomia","Anomia"
"KEEN ONE","Byrnes",2014,7,8,"Baker North","1","B",7.5,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KEEN ONE","Byrnes",2014,7,8,"Baker North","1","BA",2.5,"Invertebrate","Arthropods","Crustaceans",NA,NA,NA,NA,NA,NA,NA,NA,"Barnacle"
"KEEN ONE","Byrnes",2014,7,8,"Baker North","1","BL",10,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KEEN ONE","Byrnes",2014,7,8,"Baker North","1","BM",21.25,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KEEN ONE","Byrnes",2014,7,8,"Baker North","1","BOSC",1.25,"Invertebrate","Chordates","Tunicates",NA,"golden star tunicate","Animalia","Chordata","Ascidiacea","Stolidobranchia","Styelidae","Botryllus","Botryllus schlosseri"
"KEEN ONE","Byrnes",2014,7,8,"Baker North","1","BOVI",1.25,"Invertebrate","Chordates","Tunicates",NA,"orange sheath tunicate","Animalia","Chordata","Ascidiacea","Stolidobranchia","Styelidae","Botrylloides","Botrylloides violaceus"
"KEEN ONE","Byrnes",2014,7,8,"Baker North","1","BS",18.75,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KEEN ONE","Byrnes",2014,7,8,"Baker North","1","C",21.25,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KEEN ONE","Byrnes",2014,7,8,"Baker North","1","CF",7.5,"Invertebrate","Molluscs","Gastropods",NA,"Slipper Snail","Animalia","Mollusca","Gastropoda","Littorinimorpha","Calyptraeidae","Crepidula","Crepidula fornicata"
"KEEN ONE","Byrnes",2014,7,8,"Baker North","1","CHCR",8.75,"Algae","Rhodophyta","Erect Red Algae",NA,"Irish moss","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Gigartinaceae","Chondrus","Chondrus crispus"
"KEEN ONE","Byrnes",2014,7,8,"Baker North","1","CLSP",2.5,"Invertebrate","Proifera","Sponges",NA,NA,"Animalia","Porifera","Demospongiae","Clionaida","Clionaidae","Cliona","Cliona"
"KEEN ONE","Byrnes",2014,7,8,"Baker North","1","CO",1.25,"Algae","Rhodophyta","Erect Red Algae",NA,"coral weed","Plantae","Rhodophyta","Florideophyceae","Corallinales","Corallinaceae","Corallina","Corallina officinalis"
"KEEN ONE","Byrnes",2014,7,8,"Baker North","1","DEAC",3.75,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed","Chromista","Ochrophyta","Phaeophyceae","Desmarestiales","Desmarestiaceae","Desmarestia","Desmarestia aculeata"
"KEEN ONE","Byrnes",2014,7,8,"Baker North","1","DEVI",12.5,"Algae","Phaeophyta","Brown Algae",NA,"Sour or Stink Weed","Chromista","Ochrophyta","Phaeophyceae","Desmarestiales","Desmarestiaceae","Desmarestia","Desmarestia viridis"
"KEEN ONE","Byrnes",2014,7,8,"Baker North","1","DIAT",5,"Algae","Phaeophyta","Brown Algae",NA,NA,NA,NA,NA,NA,NA,NA,"Diatom Tube Mat"
"KEEN ONE","Byrnes",2014,7,8,"Baker North","1","DIVE",2.5,"Invertebrate","Chordates","Tunicates",NA,"tunicate","Animalia","Chordata","Ascidiacea","Aplousobranchia","Didemnidae","Didemnum","Didemnum vexillum"
"KEEN ONE","Byrnes",2014,7,8,"Baker North","1","EC",23.75,"Algae","Rhodophyta","Red Algal Crusts",NA,NA,NA,NA,NA,NA,NA,NA,"Encrusting coralline"
"KEEN ONE","Byrnes",2014,7,8,"Baker North","1","HIRU",2.5,"Algae","Rhodophyta","Red Algal Crusts",NA,NA,"Plantae","Rhodophyta","Florideophyceae","Hildenbrandiales","Hildenbrandiaceae","Hildenbrandia","Hildenbrandia rubra"
"KEEN ONE","Byrnes",2014,7,8,"Baker North","1","HJ",1.25,"Algae","Rhodophyta","Erect Red Algae",NA,"japan red algae","Plantae","Rhodophyta","Florideophyceae","Ceramiales","Dasyaceae","Dasysiphonia","Dasysiphonia japonica"
"KEEN ONE","Byrnes",2014,7,8,"Baker North","1","LIVE",1.25,"Invertebrate","Bryozoans","Bryozoans",NA,NA,"Animalia","Bryozoa","Stenolaemata","Cyclostomatida","Lichenoporidae","Patinella","Patinella verrucaria"
"KEEN ONE","Byrnes",2014,7,8,"Baker North","1","MAST",3.75,"Algae","Rhodophyta","Erect Red Algae",NA,"false irish moss","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Phyllophoraceae","Mastocarpus","Mastocarpus stellatus"
"KEEN ONE","Byrnes",2014,7,8,"Baker North","1","MEMA",1.25,"Invertebrate","Bryozoans","Bryozoans",NA,"sea lace","Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae","Membranipora","Membranipora membranacea"
"KEEN ONE","Byrnes",2014,7,8,"Baker North","1","MYED",3.75,"Invertebrate","Molluscs","Bivalves",NA,"Blue Mussel","Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae","Mytilus","Mytilus edulis"
"KEEN ONE","Byrnes",2014,7,8,"Baker North","1","P",7.5,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KEEN ONE","Byrnes",2014,7,8,"Baker North","1","PHRU",1.25,"Algae","Rhodophyta","Erect Red Algae",NA,"sea oak","Plantae","Rhodophyta","Florideophyceae","Ceramiales","Delesseriaceae","Phycodrys","Phycodrys rubens"
"KEEN ONE","Byrnes",2014,7,8,"Baker North","1","POLS",6.25,"Algae","Rhodophyta","Erect Red Algae",NA,"lobster horns","Plantae","Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","Polysiphonia","Polysiphonia"
"KEEN ONE","Byrnes",2014,7,8,"Baker North","1","RAT",7.5,"Algae","Rhodophyta","Erect Red Algae",NA,NA,NA,NA,NA,NA,NA,NA,"Red Algal Turf"
"KEEN ONE","Byrnes",2014,7,8,"Baker North","1","S",3.75,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KEEN ONE","Byrnes",2014,7,8,"Baker North","1","SH",7.5,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KEEN ONE","Byrnes",2014,7,8,"Baker North","1","SL",77.5,"Algae","Phaeophyta","Brown Algae",NA,"Sugar Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","Saccharina latissima"
"KEEN ONE","Byrnes",2014,7,8,"Baker North","1","SS",2.5,"Substrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KEEN ONE","Byrnes",2014,7,8,"Baker North","1","URB",5,"Algae","Rhodophyta","Erect Red Algae",NA,NA,NA,NA,NA,NA,NA,NA,"Unidentified Red Blade"
"KEEN ONE","Byrnes",2014,7,8,"Baker North","2","ANSP",10,"Invertebrate","Molluscs","Bivalves",NA,"jingle shell","Animalia","Mollusca","Bivalvia","Pectinida","Anomiidae","Anomia","Anomia"
