"NETWORK","PI","YEAR","MONTH","DAY","SITE","TRANSECT","SP_CODE","QUAD","SIDE","COUNT","AREA","GROUP","DIVISION.FAMILY","COMMON.DIVISION.NAME","SIZE","COMMON.NAME","KINGDOM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","SPECIES","NOTES"
"KEEN ONE","Byrnes",2015,7,15,"Little Brewster","1","FUSP",0,"O",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KEEN ONE","Byrnes",2015,7,15,"Little Brewster","1","FUSP",16,"O",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KEEN ONE","Byrnes",2015,7,15,"Little Brewster","1","FUSP",24,"I",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KEEN ONE","Byrnes",2015,7,15,"Little Brewster","1","FUSP",32,"O",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KEEN ONE","Byrnes",2015,7,15,"Little Brewster","1","FUSP",40,"I",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KEEN ONE","Byrnes",2015,7,15,"Little Brewster","1","FUSP",8,"I",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KEEN ONE","Byrnes",2015,7,15,"Little Brewster","4","FUSP",0,"O",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KEEN ONE","Byrnes",2015,7,15,"Little Brewster","4","FUSP",16,"O",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KEEN ONE","Byrnes",2015,7,15,"Little Brewster","4","FUSP",24,"I",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KEEN ONE","Byrnes",2015,7,15,"Little Brewster","4","FUSP",32,"O",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KEEN ONE","Byrnes",2015,7,15,"Little Brewster","4","FUSP",40,"I",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KEEN ONE","Byrnes",2015,7,15,"Little Brewster","4","FUSP",8,"I",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KEEN ONE","Byrnes",2015,7,17,"Little Brewster","2","FUSP",0,"O",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KEEN ONE","Byrnes",2015,7,17,"Little Brewster","2","FUSP",16,"O",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KEEN ONE","Byrnes",2015,7,17,"Little Brewster","2","FUSP",24,"I",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KEEN ONE","Byrnes",2015,7,17,"Little Brewster","2","FUSP",32,"O",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KEEN ONE","Byrnes",2015,7,17,"Little Brewster","2","FUSP",40,"I",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KEEN ONE","Byrnes",2015,7,17,"Little Brewster","2","FUSP",8,"I",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KEEN ONE","Byrnes",2015,7,17,"Little Brewster","3","FUSP",0,"O",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KEEN ONE","Byrnes",2015,7,17,"Little Brewster","3","FUSP",16,"O",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
