"NETWORK","PI","YEAR","MONTH","DAY","SITE","TRANSECT","START_LATITUDE","START_LONGITUDE","END_LATITUDE","END_LONGITUDE","START_DEPTH_M","END_DEPTH_M","TEMPERATURE_C","VISIBILITY_M"
"KEEN ONE","Byrnes",2014,7,8,"Baker North","1",42.53804,-70.78646,42.53811,-70.78683,27,30,NA,4.5
"KEEN ONE","Byrnes",2014,7,8,"Baker North","2",42.53744,-70.78494,42.5377,-70.7851,24,27,NA,3
"KEEN ONE","Byrnes",2014,7,9,"Baker North","3",42.53696,-70.78384,42.53692,-70.78438,30,25,NA,5
"KEEN ONE","Byrnes",2014,7,9,"Baker North","4",42.53495,-70.78127,42.53529,-70.78143,30,24,NA,4.5
"KEEN ONE","Byrnes",2014,7,8,"Baker North","1",42.53804,-70.78646,42.53811,-70.78683,27,30,NA,4.5
"KEEN ONE","Byrnes",2014,7,8,"Baker North","2",42.53744,-70.78494,42.5377,-70.7851,24,27,NA,3
"KEEN ONE","Byrnes",2014,7,9,"Baker North","3",42.53696,-70.78384,42.53692,-70.78438,30,25,NA,5
"KEEN ONE","Byrnes",2014,7,9,"Baker North","4",42.53495,-70.78127,42.53529,-70.78143,30,24,NA,4.5
"KEEN ONE","Byrnes",2014,7,11,"Baker South","2",42.53167,-70.78329,42.5318,-70.78276,7.7,31,NA,2.5
"KEEN ONE","Byrnes",2014,8,7,"Little Brewster","1",42.32692,-70.89121,42.32696,-70.8917,8.5,28,13,2.5
"KEEN ONE","Byrnes",2014,8,7,"Little Brewster","4",42.3286,-70.88817,NA,NA,7.3,23,13,2.5
