Plot Title: KEEN1 ,"40m plot Aug13,2015-Apr21,2016",
#,"Time, GMT-04:00","Temp, °F"
1,8/13/2015 12:00,56.057
2,8/13/2015 12:30,52.751
3,8/13/2015 13:00,54.843
4,8/13/2015 13:30,54.843
5,8/13/2015 14:00,55.884
6,8/13/2015 14:30,57.786
7,8/13/2015 15:00,59.164
8,8/13/2015 15:30,59.336
9,8/13/2015 16:00,59.336
10,8/13/2015 16:30,59.508
11,8/13/2015 17:00,59.68
12,8/13/2015 17:30,59.852
13,8/13/2015 18:00,60.024
14,8/13/2015 18:30,59.68
15,8/13/2015 19:00,59.164
16,8/13/2015 19:30,58.476
17,8/13/2015 20:00,54.495
18,8/13/2015 20:30,54.843
19,8/13/2015 21:00,54.321
20,8/13/2015 21:30,54.843
21,8/13/2015 22:00,53.275
22,8/13/2015 22:30,53.798
23,8/13/2015 23:00,53.798
24,8/13/2015 23:30,53.45
25,8/14/2015 0:00,53.624
26,8/14/2015 0:30,53.973
27,8/14/2015 1:00,54.669
28,8/14/2015 1:30,55.884
29,8/14/2015 2:00,56.057
30,8/14/2015 2:30,58.303
31,8/14/2015 3:00,57.268
32,8/14/2015 3:30,57.613
33,8/14/2015 4:00,59.164
34,8/14/2015 4:30,59.852
35,8/14/2015 5:00,59.68
36,8/14/2015 5:30,57.786
37,8/14/2015 6:00,57.786
38,8/14/2015 6:30,57.958
39,8/14/2015 7:00,57.095
40,8/14/2015 7:30,56.577
41,8/14/2015 8:00,57.441
42,8/14/2015 8:30,55.884
43,8/14/2015 9:00,55.711
44,8/14/2015 9:30,56.922
45,8/14/2015 10:00,55.711
46,8/14/2015 10:30,56.057
47,8/14/2015 11:00,55.884
48,8/14/2015 11:30,57.613
49,8/14/2015 12:00,58.131
50,8/14/2015 12:30,59.164
51,8/14/2015 13:00,58.992
52,8/14/2015 13:30,59.508
53,8/14/2015 14:00,59.852
54,8/14/2015 14:30,59.852
55,8/14/2015 15:00,60.024
56,8/14/2015 15:30,60.024
57,8/14/2015 16:00,60.196
58,8/14/2015 16:30,60.196
59,8/14/2015 17:00,59.336
60,8/14/2015 17:30,57.268
61,8/14/2015 18:00,56.75
62,8/14/2015 18:30,55.017
63,8/14/2015 19:00,55.017
64,8/14/2015 19:30,55.19
65,8/14/2015 20:00,55.537
66,8/14/2015 20:30,55.711
67,8/14/2015 21:00,55.19
68,8/14/2015 21:30,54.843
69,8/14/2015 22:00,54.495
70,8/14/2015 22:30,54.321
71,8/14/2015 23:00,53.973
72,8/14/2015 23:30,53.624
73,8/15/2015 0:00,53.624
74,8/15/2015 0:30,53.45
75,8/15/2015 1:00,52.925
76,8/15/2015 1:30,53.624
77,8/15/2015 2:00,54.147
78,8/15/2015 2:30,54.843
79,8/15/2015 3:00,55.537
80,8/15/2015 3:30,55.537
81,8/15/2015 4:00,55.537
82,8/15/2015 4:30,56.057
83,8/15/2015 5:00,56.057
84,8/15/2015 5:30,56.057
85,8/15/2015 6:00,56.231
86,8/15/2015 6:30,55.711
87,8/15/2015 7:00,55.537
88,8/15/2015 7:30,55.364
89,8/15/2015 8:00,55.364
90,8/15/2015 8:30,55.017
91,8/15/2015 9:00,54.321
92,8/15/2015 9:30,53.45
93,8/15/2015 10:00,53.275
94,8/15/2015 10:30,53.973
95,8/15/2015 11:00,53.624
96,8/15/2015 11:30,52.4
97,8/15/2015 12:00,53.1
98,8/15/2015 12:30,53.275
99,8/15/2015 13:00,52.925
100,8/15/2015 13:30,53.624
101,8/15/2015 14:00,54.321
102,8/15/2015 14:30,54.843
103,8/15/2015 15:00,55.884
104,8/15/2015 15:30,57.268
105,8/15/2015 16:00,55.537
106,8/15/2015 16:30,55.364
107,8/15/2015 17:00,55.364
108,8/15/2015 17:30,55.884
109,8/15/2015 18:00,55.884
110,8/15/2015 18:30,56.057
111,8/15/2015 19:00,56.577
112,8/15/2015 19:30,56.577
113,8/15/2015 20:00,56.231
114,8/15/2015 20:30,55.537
115,8/15/2015 21:00,55.19
116,8/15/2015 21:30,54.669
117,8/15/2015 22:00,54.669
118,8/15/2015 22:30,54.321
119,8/15/2015 23:00,53.798
120,8/15/2015 23:30,52.751
121,8/16/2015 0:00,52.225
122,8/16/2015 0:30,52.05
123,8/16/2015 1:00,52.225
124,8/16/2015 1:30,51.874
125,8/16/2015 2:00,52.225
126,8/16/2015 2:30,52.751
127,8/16/2015 3:00,53.1
128,8/16/2015 3:30,52.925
129,8/16/2015 4:00,53.275
130,8/16/2015 4:30,56.75
131,8/16/2015 5:00,54.669
132,8/16/2015 5:30,53.798
133,8/16/2015 6:00,54.669
134,8/16/2015 6:30,56.577
135,8/16/2015 7:00,58.476
136,8/16/2015 7:30,56.922
137,8/16/2015 8:00,56.057
138,8/16/2015 8:30,55.364
139,8/16/2015 9:00,55.537
140,8/16/2015 9:30,55.884
141,8/16/2015 10:00,56.231
142,8/16/2015 10:30,55.017
143,8/16/2015 11:00,54.147
144,8/16/2015 11:30,54.321
145,8/16/2015 12:00,54.321
146,8/16/2015 12:30,52.576
147,8/16/2015 13:00,52.4
148,8/16/2015 13:30,53.1
149,8/16/2015 14:00,53.1
150,8/16/2015 14:30,53.973
151,8/16/2015 15:00,55.017
152,8/16/2015 15:30,56.057
153,8/16/2015 16:00,57.613
154,8/16/2015 16:30,56.231
