Plot Title: KEEN2 ,"60 m plot Aug13,2015-Apr21,2016",
#,"Time, GMT-04:00","Temp, °F"
1,8/13/2015 12:15,57.268
2,8/13/2015 12:45,54.495
3,8/13/2015 13:15,54.843
4,8/13/2015 13:45,55.364
5,8/13/2015 14:15,57.441
6,8/13/2015 14:45,59.336
7,8/13/2015 15:15,59.336
8,8/13/2015 15:45,59.68
9,8/13/2015 16:15,59.68
10,8/13/2015 16:45,60.024
11,8/13/2015 17:15,60.024
12,8/13/2015 17:45,60.024
13,8/13/2015 18:15,60.196
14,8/13/2015 18:45,59.852
15,8/13/2015 19:15,59.852
16,8/13/2015 19:45,58.648
17,8/13/2015 20:15,55.711
18,8/13/2015 20:45,55.537
19,8/13/2015 21:15,56.057
20,8/13/2015 21:45,55.017
21,8/13/2015 22:15,53.45
22,8/13/2015 22:45,53.973
23,8/13/2015 23:15,53.798
24,8/13/2015 23:45,53.624
25,8/14/2015 0:15,54.321
26,8/14/2015 0:45,54.669
27,8/14/2015 1:15,55.364
28,8/14/2015 1:45,57.441
29,8/14/2015 2:15,57.095
30,8/14/2015 2:45,59.164
31,8/14/2015 3:15,58.992
32,8/14/2015 3:45,59.508
33,8/14/2015 4:15,60.196
34,8/14/2015 4:45,60.368
35,8/14/2015 5:15,59.852
36,8/14/2015 5:45,57.958
37,8/14/2015 6:15,58.648
38,8/14/2015 6:45,58.131
39,8/14/2015 7:15,57.095
40,8/14/2015 7:45,57.268
41,8/14/2015 8:15,57.786
42,8/14/2015 8:45,56.404
43,8/14/2015 9:15,57.441
44,8/14/2015 9:45,57.441
45,8/14/2015 10:15,57.095
46,8/14/2015 10:45,56.922
47,8/14/2015 11:15,57.268
48,8/14/2015 11:45,58.131
49,8/14/2015 12:15,58.992
50,8/14/2015 12:45,59.336
51,8/14/2015 13:15,59.68
52,8/14/2015 13:45,60.024
53,8/14/2015 14:15,60.024
54,8/14/2015 14:45,60.196
55,8/14/2015 15:15,60.368
56,8/14/2015 15:45,60.368
57,8/14/2015 16:15,60.368
58,8/14/2015 16:45,60.368
59,8/14/2015 17:15,60.196
60,8/14/2015 17:45,60.196
61,8/14/2015 18:15,57.613
62,8/14/2015 18:45,55.537
63,8/14/2015 19:15,55.364
64,8/14/2015 19:45,55.537
65,8/14/2015 20:15,55.711
66,8/14/2015 20:45,55.711
67,8/14/2015 21:15,55.364
68,8/14/2015 21:45,54.669
69,8/14/2015 22:15,54.669
70,8/14/2015 22:45,53.973
71,8/14/2015 23:15,53.973
72,8/14/2015 23:45,53.798
73,8/15/2015 0:15,53.973
74,8/15/2015 0:45,53.624
75,8/15/2015 1:15,53.45
76,8/15/2015 1:45,55.364
77,8/15/2015 2:15,55.537
78,8/15/2015 2:45,55.364
79,8/15/2015 3:15,55.537
80,8/15/2015 3:45,55.711
81,8/15/2015 4:15,55.884
82,8/15/2015 4:45,56.057
83,8/15/2015 5:15,56.057
84,8/15/2015 5:45,56.577
85,8/15/2015 6:15,56.231
