DATE,YEAR,MONTH,DAY,SITE,TRANSECT,DISTANCE (m),SIDE,SUBSTRTE,OBSERVER,NOTES,ENTERED BY,CHECKED BY,SP_CODE_0,SP_CODE_1,SP_CODE_2,SP_CODE_3,SP_CODE_4,SP_CODE_5
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,1,4,ON,R,"Jenn, Kristen",NA,Kristen,NA,CHCR,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,1,8,OFF,R,"Jenn, Kristen",NA,Kristen,NA,UFR,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,1,10,ON,R,"Jenn, Kristen",NA,Kristen,NA,HJ,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,1,12,OFF,R,"Jenn, Kristen",NA,Kristen,NA,CHCR,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,1,14,OFF,R,"Jenn, Kristen",NA,Kristen,NA,HJ,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,1,14,ON,S,"Jenn, Kristen",NA,Kristen,NA,PORO,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,1,16,OFF,R,"Jenn, Kristen",NA,Kristen,NA,HJ,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,1,18,OFF,R,"Jenn, Kristen",NESP=Neosiphonia spp.,Kristen,NA,NESP,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,1,18,ON,R,"Jenn, Kristen",NA,Kristen,NA,HJ,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,1,20,OFF,R,"Jenn, Kristen",NA,Kristen,NA,NESP,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,1,22,OFF,R,"Jenn, Kristen",COOF= Corallina officinalis,Kristen,NA,COOF,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,1,22,ON,R,"Jenn, Kristen",NA,Kristen,NA,UV,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,1,24,ON,R,"Jenn, Kristen",NA,Kristen,NA,PORO,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,1,26,OFF,R,"Jenn, Kristen",NA,Kristen,NA,HJ,,,,,
2017-09-27T00:00:00Z,2017,9,27,Nubble Lighthouse,1,28,ON,R,"Jenn, Kristen",NA,Kristen,NA,HJ,,,,,
