YEAR,MONTH,DATE,SITE,TRANSECT,DISTANCE,SIDE,SP_CODE_0,SUBSTRTE,NOTES,ENTERED BY,CHECKED BY,SP_CODE_1,SP_CODE_2,SP_CODE_3,SP_CODE_4,SP_CODE_5,DAY
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,1,I,COTR,BS,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,1,O,COTR,S,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,2,I,COTR,BS,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,2,O,POLS,S,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,3,I,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,3,O,,S,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,4,I,GRAM,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,4,O,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,5,I,COTR,S,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,5,O,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,5.666666667,I,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,6.151515152,O,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,6.636363636,I,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,7.121212121,O,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,7.606060606,I,,,"Visibility shot, could not see a thing",,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,8.090909091,O,,,"Visibility shot, could not see a thing",,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,8.575757576,I,,,"Visibility shot, could not see a thing",,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,9.060606061,O,,,"Visibility shot, could not see a thing",,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,9.545454545,I,,,"Visibility shot, could not see a thing",,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,10.03030303,O,,,"Visibility shot, could not see a thing",,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,10.51515152,I,,,"Visibility shot, could not see a thing",,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,11,O,,,"Visibility shot, could not see a thing",,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,11.96969697,I,,,"Visibility shot, could not see a thing",,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,3,12.45454545,O,,,"Visibility shot, could not see a thing",,,,,,,,24
