YEAR,MONTH,DAY,DATE,VIS (m),TRANSECT,SP_CODE,AREA (m),OBS_CODE,NOTES,ENTERED BY,CHECKED BY,0_10,10_50,YOY
2018,9,7,2018-09-07T00:00:00Z,1.5,2,CEST,80,Austin Humphries,NA,Lauren Josephs,Austin Humphries,37,2,17
2018,9,7,2018-09-07T00:00:00Z,1.5,2,STCH,80,Austin Humphries,NA,Lauren Josephs,Austin Humphries,30,1,NA
2018,9,7,2018-09-07T00:00:00Z,1.5,2,TAAD,80,Austin Humphries,NA,Lauren Josephs,Austin Humphries,39,111,NA
2018,9,7,2018-09-07T00:00:00Z,1.5,2,TAON,80,Austin Humphries,NA,Lauren Josephs,Austin Humphries,NA,1,NA
2018,9,7,2018-09-07T00:00:00Z,2.5,3,CEST,80,Austin Humphries,NA,Lauren Josephs,Austin Humphries,NA,3,12
2018,9,7,2018-09-07T00:00:00Z,2.5,3,STCH,80,Austin Humphries,NA,Lauren Josephs,Austin Humphries,NA,NA,815
2018,9,7,2018-09-07T00:00:00Z,2.5,3,TAAD,80,Austin Humphries,NA,Lauren Josephs,Austin Humphries,99,103,NA
2018,9,7,2018-09-07T00:00:00Z,2.5,3,TAON,80,Austin Humphries,NA,Lauren Josephs,Austin Humphries,NA,6,NA
2018,9,10,2018-09-10T00:00:00Z,1,1,CEST,80,Austin Humphries,NA,Lauren Josephs,Austin Humphries,14,2,NA
2018,9,10,2018-09-10T00:00:00Z,1,1,STCH,80,Austin Humphries,NA,Lauren Josephs,Austin Humphries,NA,1,220
2018,9,10,2018-09-10T00:00:00Z,1,1,TAAD,80,Austin Humphries,NA,Lauren Josephs,Austin Humphries,20,47,NA
2018,9,24,2018-09-24T00:00:00Z,2,4,CEST,80,Austin Humphries,NA,Lauren Josephs,Austin Humphries,6,3,34
2018,9,24,2018-09-24T00:00:00Z,2,4,MOSA,80,Austin Humphries,NA,Lauren Josephs,Austin Humphries,NA,12,NA
2018,9,24,2018-09-24T00:00:00Z,2,4,STCH,80,Austin Humphries,NA,Lauren Josephs,Austin Humphries,NA,2,NA
2018,9,24,2018-09-24T00:00:00Z,2,4,TAAD,80,Austin Humphries,NA,Lauren Josephs,Austin Humphries,173,87,35
2018,9,24,2018-09-24T00:00:00Z,2,4,TAON,80,Austin Humphries,NA,Lauren Josephs,Austin Humphries,NA,10,NA
